ident	id	idAuthor	target	idDate	targetDate
3980016	The novelists magazine	Henry Fielding	Horace	1780	-8
3980153	The novelists magazine	John Langhorne	Publius Vergilius Maro	1780	-19
3980197	The novelists magazine	Tobias George Smollett	Horace	1780	8
3980210	The novelists magazine	Voltaire	Virgil	1780	19
3980240	The novelists magazine	Henry Fielding	Horace	1780	-8
4008200	Letters from a Persian in England	George Lyttelton Lyttelton	Titus Lucretius Carus	1735	-55
4106228	Letters from the living to the living	null	Juvenal	1703	130
427580	The Works of Henry Fielding, Esq	Henry Fielding	Juvenal	1814	130
427785	The Works of Henry Fielding, Esq	Henry Fielding	Ovid	1814	18
427894	The Works of Henry Fielding, Esq	Henry Fielding	Virgil	1814	-19
428108	The Works of Henry Fielding, Esq	Henry Fielding	Cicero	1816	-43
429890	Monimia	null	Thomas Otway	1791	1685
429975	Stellins	null	"Johann Wolfgang von, Goethe"	1793	5000
430656	The ladys miscellany	null	John Dryden	1760	1700
430719	The new novelist	null	"William, Shenstone"	1795	1763
430829	Love in excess	Eliza Fowler Haywood	George Granville Lansdowne	1721	5000
431005	The history of Charlotte Villars	Isaac Mukins	Horace	1756	-8
431188	The woman of honor	John Cleland	Francis Bacon	1768	1626
431311	The adventures of a hackney coach	null	William Shakespeare	1781	1616
431356	The frolics of fancy	Rowley Thomas	Hor	1785	5000
431941	Euphrosyne	Richard Graves	Ovid	1776	18
432067	Canterbury tales for the year 1797	Harriet Lee	William Cowper	1797	4
432074	The reverie	Charles Johnstone	John Milton	1763	1674
432087	The adventures of Peregrine Pickle	Tobias George Smollett	Horace	1751	-8
432088	Hermsprong	Robert Bage	Marcus Tullius Cicero	1796	-43
432527	Amelia	Henry Fielding	Horace	1752	-8
