id	title	author	date	epigraph_author	d	4	5
341650	Solyman and Almena. An oriental tale. By Dr. Langhorne.	"Langhorne, John"	1780	['Virgil']		['Author (epigraph)']	['Authorized']
341652	Something new. In two volumes. [Epigraph] Vol. I.	"Griffith, Richard"	1772	['Virgil']		['Author (epigraph)']	['Authorized']
341658	The sorrows of Werter: a German story. The second edition. Vol. I.	"Goethe, Johann Wolfgang von"	1780	['Virgil']		['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	"['Young, Edward']"	['1683-1765']	['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	"['Rousseau, Jean-Jacques']"	['1712-1778']	['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	['Ovid']		['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	['Juvenal']		['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	['Horace']		['Author (epigraph)']	['Authorized']
341659	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. In three volumes. [Epigraphs.] Vol. I."	"Graves, Richard"	1773	"['Hughes, John']"	['1677-1720']	['Author (epigraph)']	['Authorized']
341663	"Sutton-Abbey. A novel. In a series of letters, founded on facts."		1780	"['Carter, Elizabeth']"	['1717-1806']	['Author (epigraph)']	['Authorized']
341666	The sylph; a novel. In two volumes. The second edition. Vol. I.	"Devonshire, Georgiana Spencer Cavendish"	1779	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
341675	Letters between Theodosius and Constantia. Volume I. Containing those that passed from their first acquaintance to the departure of Theodosius. Now first published from the original manuscripts. [epigraph]. A new edition.	"Langhorne, John"	1770	"['Chaulieu, Guillaume Amfrye de']"	['1639-1720']	['Author (epigraph)']	['Authorized']
341675	Letters between Theodosius and Constantia. Volume I. Containing those that passed from their first acquaintance to the departure of Theodosius. Now first published from the original manuscripts. [epigraph]. A new edition.	"Langhorne, John"	1770	"['Corneille, Pierre']"	['1606-1684']	['Author (epigraph)']	['Authorized']
341675	Letters between Theodosius and Constantia. Volume I. Containing those that passed from their first acquaintance to the departure of Theodosius. Now first published from the original manuscripts. [epigraph]. A new edition.	"Langhorne, John"	1770	['Addison']		['Author (epigraph)']	['Unauthorized']
341690	"The true anti-Pamela: Or, the memoirs of Mr. James Parry, late organist of Ross in Herefordshire. In which are inserted, his amours with the celebrated Miss ----- of Monmouthshire. Written by himself. In two parts compleat. Part I. Memoirs of his life and amours. Part II. A journal of his adventures in a cruise against the Spaniards, on board the Revenge privateer, Capt. Wimble. With his genuine letters of love and gallantry. [Epigraph] The second edition, with additions."	"Parry, James"	1770	"['Otway, Thomas']"	['1652-1685']	['Author (epigraph)']	['Authorized']
341697	"A true narrative of an unfortunate elopement, in a series of letters. By ****** S----, Esq;"	"Simes, Thomas"	1770	"['Prior, Matthew']"	['1664-1721']	['Author (epigraph)']	['Authorized']
341722	"The younger brother, a tale. [epigraph]. Volume the first."		1770	"['Pope, Alexander']"	['1688-1744']	['Author (epigraph)']	['Authorized']
361053	"The memoirs of Miss Arabella Bolton. Containing a genuine account of her seduction, and the barbarous treatment she afterwards received from the honourable C--- L-----, the present suposed M-----r for the County of Middlesex. With various other misfortunes and embarrassments, into which this unhappy young woman has been cruelly involved through the vicissitudes of life, and the villainy of her seducer. The whole taken from the original letters of the said C--- L----- to Dr. Kelly, who attended her in the greatest misfortunes and distresses under which she laboured; And also from several original letters from Doctor Kelly and Miss Bolton, and from other authenticated papers in the hands of the publisher."		1770	"['Rowe, Nicholas']"	['1674-1718']	['Author (epigraph)']	['Authorized']
374953	"Calavar; or, the knight of the conquest: a romance of Mexico. By R.M. Bird, Author of ""The infidel,"" etc. [Epigraph.] A new edition. In two volumes. Vol. I."	"Bird, Robert Montgomery"	1847	"['Vega, Garcilaso de la']"	['1503-1536']	['Author (epigraph)']	['Authorized']
375219	"A romance of the sea-serpent, or the icthyosaurus. Also, a collection of the ancient and modern authories, with letters from distinguished merchants and men of science. [Epigraph.]"	"Batchelder, Eugene"	1849	"['Shakespeare, William']"	['1564-1616']	['Author (epigraph)']	['Authorized']
375230	"The Fire-Screen, or domestic sketches. By Mrs. Anna Bache"	"Bache, Anna"	1841	"['Coleridge, Samuel Taylor']"	['1772-1834']	['Author (epigraph)']	['Authorized']
375233	"Julia of Baiae; or the days of Nero. A story of the martyrs. By the author of ""The merchant's daughter,"" ""Virginia,"" ""Christmas bells,"" etc., etc."	"Brown, John Walker"	1843	['Salis']		['Author (epigraph)']	['Unauthorized']
375233	"Julia of Baiae; or the days of Nero. A story of the martyrs. By the author of ""The merchant's daughter,"" ""Virginia,"" ""Christmas bells,"" etc., etc."	"Brown, John Walker"	1843	"['Rogers, Samuel']"	['1763-1855']	['Author (epigraph)']	['Authorized']
375233	"Julia of Baiae; or the days of Nero. A story of the martyrs. By the author of ""The merchant's daughter,"" ""Virginia,"" ""Christmas bells,"" etc., etc."	"Brown, John Walker"	1843	"['Byron, George Gordon Byron Baron']"	['1788-1824']	['Author (epigraph)']	['Authorized']
375233	"Julia of Baiae; or the days of Nero. A story of the martyrs. By the author of ""The merchant's daughter,"" ""Virginia,"" ""Christmas bells,"" etc., etc."	"Brown, John Walker"	1843	"['Tacitus, Cornelius']"		['Author (epigraph)']	['Authorized']
375233	"Julia of Baiae; or the days of Nero. A story of the martyrs. By the author of ""The merchant's daughter,"" ""Virginia,"" ""Christmas bells,"" etc., etc."	"Brown, John Walker"	1843	"['Milman, Henry Hart']"	['1791-1868']	['Author (epigraph)']	['Authorized']
375432	"Modern chivalry: containing the adventures of Captain John Farrago, and Teague Oregan, his servant. Volume I. By H. H. Brackenridge."	"Brackenridge, H. H"	1792	['Juvenal']		['Author (epigraph)']	['Authorized']
375855	"Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant. By H. H. Brackenridge."	"Brackenridge, H. H"	1825	['Horace']		['Author (epigraph)']	['Authorized']
376395	"Calavar; or, the knight of the conquest: a romance of Mexico. [Epigraph.] In two volumes. Vol. I."	"Bird, Robert Montgomery"	1834	"['Vega, Garcilaso de la']"	['1503-1536']	['Author (epigraph)']	['Authorized']
